,Author,Headline,Article,Date
496,Snehal Sengupta,coronavirus: Fire and emergency services minister Sujit Bose hospitalised after week’s home stay - Telegraph India,"Fire and emergency services minister Sujit Bose, who is also the MLA from Bidhannagar and had tested positive for Covid-19 on May 28, was admitted to a hospital off EM Bypass on Wednesday.According to one of his close aides, Bose had complained of fever and breathlessness before getting admitted.Bose was under home quarantine since last week after he tested positive for coronavirus along with his wife and domestic help.His son’s test result had come out negative initially but he tested positive after doctors advised him to undergo another swab test.“Dada was initially without symptoms but when he complained of fever and shortness of breath, we admitted him to the private hospital,” the aide said, referring to Bose.With the minister testing positive, more than 75 persons, including senior fire department officials, who came in contact with him were advised to stay in home quarantine.Bose had visited several areas in Salt Lake, Lake Town and Dakshindari with fire and emergency services teams to supervise the removal of fallen trees.Among the sites he visited in Salt Lake to oversee the removal of trees was Karunamoyee Housing Estate, CA Block and places along the EM Bypass near Duttabad.He had come in contact with at least two councillors including Rajesh Chirimar and Nirmal Dutta during these efforts. Dutta told The Telegraph Salt Lake that he underwent a test on Friday and his test results came negative. Chirimar said that he was “doing fine” and had not developed any symptoms.Ranjan Poddar, a Karunamoyee resident who had helped Bose organise the tree-removal efforts in the housing estate, said that he too had undergone the swab test. “My test report has come negative. It is a big relief,” said Poddar.Bose’s test report sent the residents of Baisakhi Abasan into a tizzy as his car is parked there for the past several days. “The car has not been sanitised. There is nobody around as well,” said Pradip Chakraborty, a resident.Bose’s aide said that Bose’s driver stayed in Baisakhi. He had driven the car home and parked it there. The driver too is under home quarantine and his Covid-19 test results are awaited, the aide said.Jaydev Naskar, another councillor of the Bidhannagar Municipal Corporation, had organised a yajna to pray for Bose’s speedy recovery. However, once the photographs of the event circulated in social media, there was criticism. According to party sources, Naskar has been rapped by the party leadership.Fresh casesAn elderly resident of Labony Estate tested positive for coronavirus and is admitted in Belle Vue nursing home. The apartment building was sanitised by the civic body on Wednesday.Another man in his seventies has tested positive for Covid-19 in AH Block. So have a 31-year-old man and a 60-year-old woman in Duttabad.In New Town, a resident of BC Block expired before his Covid-19 report came out as positive. A middle-aged man, who was a tenant in an apartment, fell ill after returning from hospital where he had gone for dialysis. He was admitted in Medical College and Hospital, where he expired the same day.“He used to go for dialysis regularly. On returning home this time, he developed diarrhoea and breathing trouble, and had to be taken back to hospital. His Covid-19 report came on May 24, two days after he passed away. His wife and son have been quarantined in Barasat. The building has been contained,” said Naren Chakraborty, president of New Town BC Block Cultural Association.A resident of BA Block in New Town, who suffered a fracture when a window pane smashed on him on the night of cyclone Amphan, had tested positive for Covid-19 initially on hospitalisation but his second test report has come negative.Another case has been reported from New Town’s DA Block.Additional reporting by Sudeshna banerjee",2020-05-06 10:36:00
497,Sudeshna Banerjee,Replant fallen trees : Salt lake - Telegraph India,"Apropos the article “AJ Block man does fallen tree survey,” published on May 29, Salt Lake is known for its lush green arboreous cover holding itself atop the sun-scorched stretches of road like a gazebo during summer. Avenues and lanes of this township are adorned by stalwarts like radhachura, krishnachura and neem that play host to a variety of birds, squirrels and other species.Perhaps there is no resident who hasn’t nurtured in their backyards mango, coconut and palm or even vegetable trees. While nature’s fury on a fateful May 20 has razed down a significant number of these green sentinels, not all is lost.The municipality staff might take a leaf out of the pages of New Town’s Rosedale Garden, which has perhaps scripted history by replanting the fallen trees in their complex. It would have been an even more splendid sight if authorities and residents joined hands in helping our all-weather friends stand on their feet instead of than hewing them down and stowing them away to a dumping site.Sharmistha Dhar,AC BlockEntry dilemmaApropos the article “To call or not call for help,” published on May 8, the question is ‘how long’. Can anyone say how long it would take for the situation to normalise? One month? Two? Three? No one knows.We have to live with this virus and at the same time open up most sectors gradually with sufficient care and restriction. Otherwise particularly the domestic helps, cleaner and less-privileged class will start facing acute financial crisis. As it is, many households refused to pay the wages of these workers for the month of April.Since most of the housing complexes are allowing office staff to commute and AC, fridge and water filter repairing technicians to come then why not helps?Senior citizens and ailing residents are facing acute challenges without such support staff. Do you think we can stop Covid-19 by shutting the gate of our complex? Do you have control over who your neighbour is exposed to when he goes out of the gates? The answer is no.So lets be pragmatic. Follow basic hygiene like using masks, gloves and sanitiser, do screening by checking body temperature if you can but leave it to the residents to allow or stop domestic helps. Sooner or later we all have to do that.Arnab Bhowmik,Greenwood Elements, New TownBeing part of a gated society residential complex, we have been receiving requests to allow domestic helps, but majority of residents are not in favour.Yes, they are having to make adjustments but they believe in safety first. They are not comfortable with anyone walking through their gates coming from vulnerable zones. The presence of asymptomatic cases makes it an all-the-more challenging situation.We are waiting for further government circulars and shall continue to restrict anyone coming from “red zones”, whatever the pressure might be.Yes, we are allowing repair technicians in but there is a difference between a domestic help coming from a containment zone and a TV mechanic coming for a job that will not expose them to elderly, vulnerable residents. If the government and health departments think we forego all concerns and normalise, lets do that. but that’s an endless debate.My personal opinion is that the government has ensured lockdown and zones with a plan to break the chain. We citizens we should ensure its success and I would even ask helps to think twice before they enter different houses.Dhrubajyoti Basak,President, Greenwood ElementsNew year bluesApropos the article “Bengali new year greeted on screen,” published on April 17, each and every Bengali waits for Poila Baisakh every year. But this year, I didn’t celebrate.The reason was sombre. During this ongoing lockdown, media houses are constantly reporting about the agony of our fellow Indians. Despite the authorities trying their best, lakhs of people are struggling to get enough food for themselves and their family members. In such a situation, I could not get myself to celebrate.I would also like to comment on the April 10 article titled “Lockdown heroes.” In these trying times, the real heroes and heroines are those who are feeding stray animals.Many of these animals depend on leftovers given by roadside eateries. Since these are shut now, the animals would go hungry if it wasn’t for the state forest department employees, police personnel and common people who are going out of their way to feed them.Sourish Misra,SA BlockFlouting lockdownIt is very sad that many people did not take the lockdown seriously. Once during the early days of the lockdown I spotted a man hiding behind a car in front of my house. He was peeping from behind the car and looking ahead, just like one would in the game of hide-and-seek. He had spotted a police patrol car!Every afternoon at about 3pm, I would find a couple of domestic helps loitering on the road of DL Block.On the day of janta curfew, we clapped to applaud police, doctors, nurses and everyone risking their health to support us. What was the use of a one-day show of appreciation, if we cannot do our little bit to support them by simply staying home?Smita Deb,Address not given",2020-05-06 11:05:00
498,Brinda Sarkar,Loudspeakers reach doctor words home - Telegraph India,"A Covid-19 awareness camp was held on Sunday with doctors addressing residents of AB and AC Blocks. However, with “stay home” orders enforced, loudspeakers were installed around so all could hear the doctors without having to visit the community hall.Days after cyclone Amphan claimed around 3,000 trees around the township, councillor Anindya Chatterjee has started a plantation drive in his ward.“Two hundred and fifty trees have fallen in Ward 41 so we shall plant 300 to replace them,” said Chatterjee at the launch of the drive on May 31. “We are calling the project Rebuild Bidhannagar and will be consulting experts before planting the saplings. The trees will be planted such that their roots don’t get entangled with sewerage lines and their branches are not affected by overhead cables.”The drive was kicked off from AC Block community hall by deputy mayor Tapas Chatterjee, who planted a guava sapling next to the hall. The committee will be planting more fruit trees such as mango, jackfruit and litchi in the coming weeks. “Many other dignitaries were slated to come, including minister and MLA Sujit Bose but since he has been diagnosed with Covid-19, we kept it low key,” said Chatterjee.The ongoing lockdown has led to a crisis of blood and the ward hosted a blood donation camp on the same day, organised by the blood bank of Bidhannagar Sub-divisional Hospital. Keeping Covid-19 protocol in mind, the bank had capped the number of donors at 40.“I’m a health worker in this ward and wanted to help those in need of fresh blood,” said Bhaskar Biswas, walking out of the hall. “People are scared to come to such camps now but since I’ve been working for Covid and Amphan relief, I was eager to help out here too.”Through the ward, the Rotary Club of Calcutta Laban Hrad donated 50 PPEs to the sub-divisional hospital. Chatterjee, who is president of the club, facilitated the handover. “The club received donation of Rs 20,000 from Karunamoyee resident Sanjay Ghosh, who commemorated his parents’ 57th anniversary thus,” he said.  Residents and institutes in the ward have also donated to the state emergency relief fund. “Together for Covid and Amphan, we raised about Rs 1,40,000. Even Labanhrad Vidyapith (AD School) and BD Market traders’ association contributed. Today we shall be handing over the cheques to the authorities,” said Chatterjee.saltlake@abpmail.com",2020-05-06 11:05:00
499,The Telegraph,Calcutta High Court to reopen on June 11 - Telegraph India,"The normal functioning of Calcutta High Court will resume on June 11 on an “experimental basis”, a high court notification issued on Friday said.After June 11, physical hearing of cases will be taken up on June 15. Thereafter, the court will sit on June 17 and June 19. The court will then review the situation before announcing its future course of action. Apart from judges, three court officials and a lawyer of each side will be allowed during the hearing of a case.The total number of attendees, including lawyers and litigants, during the hearing of a case will not be more than eight.",2020-05-06 21:11:00
500,Subhajoy Roy,Cyclone Amphan in West Bengal: Drive to replace felled trees with thinner ones begins - Telegraph India,"Three trees that were uprooted by Cyclone Amphan at Bhowanipore’s Harish Park were replaced on Friday by five 10-year-old trees that were residents of a nursery for tall trees in New Town till the day before.Storms have been uprooting old, shallow-rooted and disproportionately balanced trees in Calcutta for many years but this was the first time they were replaced by trees that have grown some foliage. Earlier, saplings and seedlings would be planted on special occasions.Saplings take years to grow and often do not survive, while a grown-up tree has a better chance of survival. Also, the 10-year-old trees planted in Harish Park are more likely to develop a good volume of foliage by winter, so that their leaves are in a position to absorb fine particles and reduce air pollution.It would have taken years for saplings to compensate for the loss of large trees.Chief minister Mamata Banerjee laid some earth at the base of a replanted neem tree at Harish Park to launch the programme. Amphan, which struck Calcutta on May 20, felled about 16,000 trees in Calcutta and its neighbouring areas, Mamata said.If the experiment of planting grown-up trees in place of uprooted ones succeed, Calcutta could get back some of the trees it lost quicker.After launching the programme on Friday, Mamata also announced a change in the plantation policy of Calcutta. “We have to plant trees that are not uprooted during storms. We are going to plant neem trees. Many neem trees stood their ground during the cyclone,” the chief minister said.She added: “Ten thousand trees will be planted in Calcutta to compensate for the loss of the trees that were uprooted. Do not plant fat trees because they are uprooted in large numbers. Plant thin trees that do not get toppled easily.”A naturalist said planting neem trees was good but the authorities should also keep in mind that planting too many of a single species may not be a good idea.“Neem trees are hardwood trees and they are less vulnerable to storms. Hardwood trees take more time to grow and they have more strength than softwood trees. Hence, they can withstand wind pressure more,” the naturalist said.The five trees that were planted at Harish Park on Friday were of various species — ashok, bokul, neem, bilati gaab and bish. The trees were about 10ft tall.Naturalists and green activists said the idea of planting grown-up trees had several advantages. Arjan Basu Roy, the founder of NGO Nature Mates, said that given the loss of green suffered during Cyclone Amphan, Calcutta could not afford to plant only saplings and wait for a decade for them to grow good foliage.“A sapling grows into a tree in a decade or even more, whereas a tree that is 10 years old would be able to grow a good volume of foliage in a year,” he said.The trees that were planted at Harish Park on Friday may give the impression that a 10-year-old tree hardly has any foliage because they were trimmed before transportation. A forest department official said trimming was necessary so that the tree did not produce much resistance to wind and its vascular system was not strained.Travelling 15-20km through city roads could have damaged the trees if they were not trimmed considerably, said the official. “Visit the same place two months later and you will be surprised to see the foliage,” said the forest department official.The official said a sapling could get drowned by tall weeds around it. A sapling can also be destroyed by cattle and be subject to human vandalism. A 10-year-old tree can withstand these challenges.While the Calcutta Municipal Corporation (CMC) is the custodian of Harish Park, the state forest department supplied the trees that were planted on Friday and would also nurture the trees for some time. The CMC has also planted five three-year-old trees along Harish Mukherjee Road where multiple giant trees were uprooted during the cyclone.CMC officials said the forest department had told the civic body that there were thousands of trees — aged between three and 10 — in their nurseries and these can be supplied for plantation along Calcutta’s roads.",2020-05-06 21:25:00
501,Pranesh Sarkar,Coronavirus pandemic: Scan on deaths in private Covid-19 hospitals of Bengal - Telegraph India,"The Bengal government will audit the reasons for the “large number of Covid-19 deaths” in private hospitals and nursing homes requisitioned by the state government to treat coronavirus patients.A team of experts will be set up to conduct the audit, said officials.So far, the state government has requisitioned 53 private hospitals and nursing homes across the state and converted them into dedicated Covid-19 treatment centres. These are in addition to the 16 dedicated government-run Covid-19 hospitals.“So far, 294 Covid-19 deaths have occurred in the state, in addition to 72 co-morbidity deaths. Of late, the majority of the deaths are being reported from private healthcare establishments that have been requisitioned by the government.  We need to find out the reasons why more patients are dying in these establishments,” a senior state government official said.Sources said the health department would set up a team of experts, which would visit the private establishments and conduct an audit to find out what the hospitals were lacking.“Initially, more deaths were being reported from government hospitals such as MR Bangur. But after a treatment protocol was fixed and a team of young doctors sent to the hospital, the situation has changed dramatically. We need to find out whether some of the private hospitals that have been requistioned are facing any problem,” a source said.Sources said the state government was concerned about the number of deaths in the private hospitals. “Over the past 14 days or so, it has been found that nearly 75 per cent of the deaths occurred at private hospitals,” said a source.Senior officials said the government could fix a treatment protocol for the requistioned private hospitals, too, since it had administrative control over them.“We can send some senior doctors to some of these hospitals. It is suspected that patients with severe symptoms are not being treated properly at these hospitals,” said an official.Some of the private hospitals — “including Sanjivan and ILS hospitals in Howrah” — were doing well. “It has to be ensured that all the hospitals provide similar quality treatment to the patients,” the official said.The government had on April 3 formed a committee to audit the reasons for the death of people testing positive for Covid-19. An inter-ministerial team from the Centre, which had visited the state in April, had questioned the panel’s purpose. The government later said the panel would no longer examine all deaths.",2020-05-06 21:27:00
502,Kinsuk Basu,Coronavirus pandemic: Anxiety over Durga Puja marks Snan Yatra - Telegraph India,"Snan Yatra, or Devasana Purnima, is an important ritual observed a fortnight before Rath Yatra.In Puri, lakhs of devotees witness the ritual at the Lord Jagannath temple. In Calcutta, the occasion coincides with a puja that marks the beginning of the construction of Durga Puja pandals.Not this year.This Snan Yatra, held on Friday, saw Durga Puja committees discuss how they would organise the annual festival. The lockdown forced by the coronavirus pandemic and its impact on the economy have hit many corporate houses.Most of them have been forced to cut down spending, casting a cloud on their sponsorship of big-ticket pujas.“We used to organise a puja on our club ground on Snan Yatra every year,” said Kajal Sarkar, of Bosepukur Sitalamandir Puja Committee. “This year, we are not even sure when we would talk to our decorator. None of the puja committees is sure about their budget this year.”Committee members would usually would turn up on their club premises with marigold garlands and a priest would perform a small puja amid cheers on Snan Yatra.Families that organise Durga Puja at home would mark this day by dusting the old bamboo structure of the idols.This year, in contrast, puja committee members wondered on a WhatsApp group whether it would be too ambitious to visit the artisans in Kumartuli towards the end of August to book idols.Durga Puja this year starts on October 22.Several puja committee members are trying to sound out their sponsors and advertisers. Most said the response is far from encouraging.Calcutta celebrates around 4,500 community pujas, involving a budget of around Rs 3,000 crore, according to the Forum for Durgostav, an umbrella organisation of over 250 puja committees.Medium to big-ticket pujas usually attract corporate sponsorships ranging between Rs 15 lakh and Rs 35 lakh.“The slump is overwhelming and extends to all sectors. Who will want to pay for ads or banners and hoardings?” wondered Sandipan Banerjee, the convener of the Behala Notun Dal puja committee.“There is no missing the message — all of us will have to bring down our budgets by 50 per cent.”Several puja organisers said they were confident of pulling off a moderate show with two months of preparations. But the gloom must dispel and the state government must make necessary amends to allow visitors to pour out.“Durga Puja will be held. That’s for sure,” said Saswata Basu, of Hatibagan Sarbojonin Durgostav Committee.“But it will be devoid of the colours and the glitz. That’s for sure, too.”",2020-05-06 21:32:00
503,Subhajoy Roy,Cyclone Amphan in West Bengal: 5 crore trees for Sunderbans: Mamata Banerjee - Telegraph India,"The state government will plant “five crore” trees in the Sunderbans to make up for the loss of mangroves because of Cyclone Amphan, chief minister Mamata Banerjee said on Friday.Mamata said 1,600sq km of the 4,200sq km of the forests were ravaged by the storm. The mangroves are the protectors of the Sunderbans and by extension, even Calcutta. They have saved people from many natural disasters.“A large section of the mangroves has been destroyed by the cyclone. Mangroves have saved the Sunderbans many times in the past, even during Aila (the cyclone that struck in May 2009). We will plant five crore mangrove trees in the Sunderbans,” the chief minister said.The state forest department will launch the programme on July 14. Ravi Kant Sinha, the principal chief conservator of forests, said trees would be transported from nurseries of the forest department in the Sunderbans area.“We have nurseries in Jharkhali and many other areas in the Sunderbans. One-year-old trees will be transported from these nurseries and planted along the coast,” said Sinha.The plantation could be done by physically going down to the interface areas between the sea and the land, where the mangroves grow, or by throwing seeds on the soil.Tuhin Ghosh, the director of Jadavpur University’s School of Oceanographic Studies, said in places that were difficult to access, boats are taken as close to the land as possible and seeds are thrown on the soil.Specialists working on the Sunderbans’ ecology wondered whether it was possible to plant five crore saplings in the Sunderbans. Ghosh expressed doubt whether the state forest department has as many seedlings of mangrove trees.Since the roots of mangrove trees are well spread, they need considerable space between each other, a naturalist pointed out.The university professor and the naturalist lauded the plan to go for a plantation drive. “Mangroves act as obstruction against fierce winds and save the Sunderbans from damage caused by violent storms. The dense foliage breaks the wind speed. Besides, the mangroves trap sediments when water recedes during low tide. The sediments help in land building. This is the reverse of land being washed away by the sea. The trapped sediments raise the level of land,” said Ghosh.He said the plan to plant mangrove saplings was laudable but the forest department must keep the salinity of a place in mind.Different regions within the Sunderbans are fit for different kinds of mangrove trees because salinity varies from one place to another.“A particular mangrove tree may survive in one place but not in another in the Sunderbans delta. This happens because a tree can adapt to a particular level of salinity and salinity can differ from one place to another,” Ghosh said.",2020-05-06 21:33:00
504,TT Bureau,"Rain coming, cave-in alert  - Telegraph India","Three persons were injured when a portion of the third-floor balcony of a house on College Street collapsed on Friday morning.The four-storey house, more than a century old,  stands near the intersection of College Street and MG Road, right opposite the Barnaparichay Market Complex.A Calcutta Municipal Corporation official said the civic body had pasted a “dangerous building” tag on the house a couple of years ago but residents and owners of shops in the building allegedly removed it.Calcutta has over 2,500 dilapidated houses, according to the CMC. The civic body had feared Cyclone Amphan would damage many of them but there was no large-scale cave-in. An architect cautioned that the rain, not winds, might have made many of these structures more vulnerable. More such cave-ins are feared during the monsoon.“A portion of the balcony (of the College Street building) caved in a little before 9am. Two men and a woman were injured and taken to hospital,” said an officer of Amherst Street police station.The injured were two plumbers and a woman, who lived in the house. The plumbers were on the balcony during the cave-in.The plumbers — Raghu Mahapatra, 38, and Jaladhar Singh, 47 — were taken to the NRS Medical College and Hospital. The woman, Biva Gambhir, 50, was taken to a nursing home.Teams from the civic body and the fire department reached the spot after the cave-in. A firefighter said five persons were evacuated from the second and third floors.“Three of the evacuated persons were over 70,” said a firefighter. The residents of the house were taken to a temporary shelter, said sources in the civic body.The ground floor of the building houses sari shops and other business establishments. The upper floors have godowns and residential units.“The entire structure is dilapidated. It is sheer luck that only a 6ftX8ft portion of the balcony crashed,” said a civic engineer.“A couple of years ago, we had pasted a ‘dangerous building’ notice on the structure and asked the residents and traders to shift elsewhere. But the notice soon disappeared.”Man shotA man sitting outside his Shibpur home was shot by a motorcycle-borne person who fired one round and fled on Friday evening. The victim was identified as Mohammad Akbar Ansari.",2020-05-06 21:36:00
505,Kinsuk Basu,Coronavirus Lockdown: Help from Texas for unwell teen - Telegraph India,"A Texan with roots in Calcutta has transferred Rs 35,000 to the bank account of a Calcuttan who was spotted waiting for a bus in Hazra, with two units of blood for his daughter, for 40 minutes on June 2.An equal amount is set to come soon.Sanchali Ganguly read about the plight of Biplab Banerjee in The Telegraph ( in a report headlined “Why they wait & how they are let down” on June 3), tracked him down, got his bank account number and transferred the amount within a day.Banerjee’s 15-year-old daughter is undergoing dialysis. Her father considers the help a godsend.The resident of Bonhooghly, near Dunlop, who earns a living working as a cook at a catering agency, has been without any income for two months because of the lockdown.Ganguly’s help would make a world of difference to his daughter’s treatment, he said.“Aamar meyeta hoyto ebar bechey jaabey (My daughter will probably survive now),” Banerjee said. “I have neither met this woman nor heard about her. But whatever she has done, I will always fall short of expressing my gratitude.”On Thursday, soon after the amount reached his account, Banerjee went out to buy costly antibiotics that his daughter’s doctor had prescribed to lessen her chest pain.A chest infection had come in the way of the teenager completing her dialysis on June 2. On Friday, she could undergo the full course of the procedure because of the antibiotics.This newspaper had reported about Banerjee’s plight while he was waiting to a catch a bus to reach Bagbazar, where his daughter was admitted to a nursing home for dialysis. He was holding a plastic bag containing two units of blood that his daughter would need.In Texas, it was 1.30am on June 3 when Ganguly was reading the report. Her daughter Avilasha, a medical student at Baylor College of Medicine in Houston, was busy with her studies.“I was devastated seeing his picture and knowing about how he was struggling to reach his daughter. I broke down and my daughter got worried,” Ganguly recounted.She reached out to Banerjee and by 8.30am on June 4 (IST), Biplab had given his bank account details to her. She said she wanted to transfer Rs 70,000 but rules related to transfer of American money came in the way.“I had that amount (Rs 35,000) in my Calcutta bank and so transferred it immediately. The rest would reach him in some time.”Banerjee said his daughter’s dialysis costs between Rs 20,000 and Rs 25,000.“Before every dialysis, she has to take an injection of haemoglobin that costs around Rs 1,200,” he said.Doctors have prescribed another round of antibiotics for his daughter. The patch in the chest has not yet cured. “A pack of 10 antibiotics costs Rs 936. So you can understand how difficult it is for me. I am trying. Let the best wishes from all of you be with her,” Banerjee said.",2020-05-06 21:37:00
506,Subhankar Chowdhury,"Cyclone Amphan in West Bengal: Student roof blown away, JU to the aid - Telegraph India","Students of Jadavpur University from the Sunderbans whose roofs had blown away and walls made of clay collapsed because of Cyclone Amphan are trying to piece together their lives with help from teachers and fellow students.While teachers have raised money for affected students, their peers are delivering essentials such as rice and pulse to their friends in distress.The teachers have so far raised Rs 2.02 lakh and are in the process of transferring Rs 1,000 to each student from the Sunderbans in the first phase.Some of the students who have received the cash have also got essentials from JU student volunteers who have been running a community kitchen for the poor since the lockdown was imposed.Mehbub Rehman Mollah, from Uttar Garan Kati in Kultali, was at his home attending an online class on the Zoom platform when the cyclone struck on May 20.Mehbub, a second-year student of history, had gone back to his village when the lockdown was announced.“The online class was disrupted as the Internet connection got snapped. Later, as the cyclone subsided, I found the thatched roof our house had blown away. The mud wall of our house collapsed,” said Mehbub, 20, whose father is a daily wage earner.“The teacher later managed to establish contact with him and learnt about the loss.”The teacher shared the story of his plight with his colleagues and scores of such tales from the Sunderbans led to the fund-raising drive.Partha Pratim Ray, a teacher of physics who is spearheading the drive, said they had drawn up a list of affected students based on inputs from teachers and student bodies.“So far, funds have been transferred to 120 students,” said Roy. The teacher Mehbub was in touch with separately gave him Rs 1,500.A good number of students at JU come from areas in and around the Sunderbans.Gayatri Mandal, a first-year student from Gosaba, said she would buy asbestos sheets to rebuild the roof of their house with the help she got on Monday.“Water was seeping into our rooms as the roof had blown off during the storm. I will buy asbestos. The teachers have assured us of more help,” said Gayatri, a first-year student of Sanskrit.A second-year student who stays with Gayatri in a hostel on the JU campus found out from her about the extent of damage and shared the details with teachers.Mehbub said he was filled with pride when his family received a sack containing 30kg rice and 25kg pulse from fellow students.A team of volunteers from the JU community kitchen visited Kultali days after Amphan to distribute essentials.Hindol Majumder, a member of the platform, said a teacher in the history department alerted them about the hardship the family is encountering and the volunteers distributed the stock.The volunteers could reach out to scores of students during their tour of the area, said Hindol, a research scholar.“JU has this culture of helping the helpless like us. I am proud of my fellow students and the teachers,” said Mehbub.Alleya Khatun of Kakdwip, who received financial help from teachers, said she would buy books because rainwater that had seeped into her room destroyed most of her books.JU vice-chancellor Suranjan Das said the initiative by the teachers and students showed how those in distress could be helped by forming a network. “This bonding between students and teachers at the time of crisis is setting an example,” said Das.",2020-05-06 21:55:00
507,Our Special Correspondent, Coronavirus pandemic: Rule tweak for Covid-19 last rites - Telegraph India,"The health department’s clearance is no longer required to hand over the body of a Covid-19 patient to the Calcutta Municipal Corporation for cremation.“Formal request from the department of health and family welfare, government of West Bengal to the Kolkata Municipal Corporation for disposal of dead body, shall no longer be required,” read a letter sent by the health department to the commissioner of the civic body earlier this week.Till now, if a person died after testing positive for Covid-19, the hospital where the death occurred needed to fill in a declaration form and attach to it the death certificate and result of the Covid-19 test. The hospital would send the form to the health department and the CMC, seeking permission to hand over the body to the civic authorities for cremation.The health department would then give permission to the CMC and the hospital for cremation.“The whole thing was done through WhatsApp. It would take about two hours to get the clearance,” said an official of a private hospital. Now, it will take barely 30 minutes to complete the process.An official said omitting the health department’s role would ease the burden on Swasthya Bhavan and reduce delay in releasing bodies.Bank robbedThree masked and armed men entered a bank posing as customers and robbed Rs 17 lakh around 3.15pm on Friday. Three suspects have been arrested and guns and ammunition seized from them. “Some people outside the bank tried to stop the robbers from fleeing. Some currency notes fell on the ground during the scuffle,” an officer said.",2020-05-06 21:56:00
509,Sanjay Mandal, Cyclone Amphan in West Bengal: Daughter of Sunderbans Man narrates ordeal - Telegraph India,"The daughter of a revered social and environment activist who had worked for decades for welfare of the Sunderbans’ residents recently visited several villages there to gain first-hand knowledge of the devastation caused by Cyclone Amphan.Tania Das, younger daughter of Tushar Kanjilal, who had set up the Tagore Society for Rural Development in the Sunderbans in the late 1960s, said she visited 14 villages of the Hingalganj block of the mangrove delta in North 24-Parganas.Tania said she was unable to contact the people of these villages after Cyclone Amphan had struck on May 20. On May 22, she got a call from a person at Dulduli village in Hingalganj, on the banks of the Kalindi river, who told her that the cyclone had damaged several villages.“I had first gone to these villages with my father after a cyclone in 1988. Then again after cyclone Aila (in 2009), I went to these villages for relief work. My father had also visited these places,” she said.Kanjilal, who was known as the Sunderbans Man, died in January at the age of 85. He had set up the Tagore Society at Gosaba’s Rangabelia, which was his workplace for decades. The organisation later spread its activities to other blocks such as Hingalganj.“My father would get so anxious about the safety of the villagers every time there was a cyclone. Even when he was unwell, during Aila, he insisted on visiting the affected areas,” said Tania. “Through our father, we developed a strong bonding with the people of the Sunderbans and so I could not sit at home hearing about their ordeal.”Tania, the director of Bhoruka Public Welfare Trust, said she had gone with her team to these villages on a vessel with relief materials like dry food, bleaching powder, lime, tarpaulin and other items. She described to Metro the scale of disaster she saw and how villagers were fighting back.Tides at a villageA big dam had burst and river water flooded a village during the cyclone.“The river water had inundated the village and people were staying on first floors of concrete buildings, leaving their small houses,” she said. As it would take some time to repair the dam, river water is flowing in and out during high and low tides.“During high tide, the water level is rising by about 5ft from the ground. The level is going down during low tide but it still remains knee-deep,” Tania said.A group of former Jadavpur University students provided food and other relief materials to the villagers,” she said.No sweet water pondMalekenghumti village had four sweet-water ponds. While the cyclone was barrelling through the Sunderbans, brackish river water flooded the village and got mixed with sweet water of the ponds. Fish in the pond died and the water became unfit for use.“The villagers had to walk three-and-a-half kilometres deep into the island to collect water from a pond that was unaffected,” said Tania.Villagers have cordoned off the affected water bodies and added lime and bleaching powder to the water.Disease outbreakVillages have been witnessing outbreaks of diarrhoea, viral fever and skin rashes following the cyclone.“In most cases, people cannot go to a doctor because one has to cross two rivers to reach  the Hingalganj block primary health centre. The local health centres in the villages are ill equipped,” she said.",2020-05-06 22:00:00
